edge_axis-x,edge_axis-y,X1,Y1,X2,Y2,conner_axis-X,conner_axis-Y
66,50,205.0,57.0,215.0,67.0,190.0,46.0
66,214,85.0,140.0,174.0,140.0,14.0,148.0
66,215,57.0,60.0,66.0,52.0,218.0,68.0
67,48,190.0,46.0,203.0,57.0,14.0,159.0
67,49,211.0,62.0,225.0,76.0,25.0,97.0
67,215,202.0,55.0,207.0,60.0,61.0,55.0
67,216,17.0,124.0,17.0,122.0,190.0,46.0
67,217,36.0,80.0,57.0,59.0,14.0,148.0
68,47,98.0,38.0,104.0,36.0,218.0,68.0
68,48,20.0,113.0,23.0,102.0,14.0,159.0
68,217,225.0,78.0,230.0,83.0,25.0,97.0
69,46,67.0,52.0,69.0,51.0,61.0,55.0
69,47,15.0,163.0,15.0,131.0,190.0,46.0
69,217,126.0,33.0,144.0,33.0,14.0,148.0
69,218,83.0,169.0,83.0,150.0,218.0,68.0
70,45,177.0,142.0,177.0,161.0,14.0,159.0
70,46,70.0,50.0,84.0,43.0,25.0,97.0
70,218,176.0,41.0,186.0,45.0,61.0,55.0
70,219,159.0,36.0,161.0,36.0,190.0,46.0
71,44,24.0,100.0,28.0,94.0,14.0,148.0
71,45,29.0,91.0,39.0,78.0,218.0,68.0
71,219,205.0,57.0,215.0,67.0,14.0,159.0
71,220,85.0,140.0,174.0,140.0,25.0,97.0
72,43,57.0,60.0,66.0,52.0,61.0,55.0
72,44,190.0,46.0,203.0,57.0,190.0,46.0
72,220,211.0,62.0,225.0,76.0,14.0,148.0
72,221,202.0,55.0,207.0,60.0,218.0,68.0
73,42,17.0,124.0,17.0,122.0,14.0,159.0
73,43,36.0,80.0,57.0,59.0,25.0,97.0
73,221,98.0,38.0,104.0,36.0,61.0,55.0
73,222,20.0,113.0,23.0,102.0,190.0,46.0
74,41,225.0,78.0,230.0,83.0,14.0,148.0
74,42,67.0,52.0,69.0,51.0,218.0,68.0
74,222,15.0,163.0,15.0,131.0,14.0,159.0
74,223,126.0,33.0,144.0,33.0,25.0,97.0
75,40,83.0,169.0,83.0,150.0,61.0,55.0
75,41,177.0,142.0,177.0,161.0,190.0,46.0
75,223,70.0,50.0,84.0,43.0,14.0,148.0
75,224,176.0,41.0,186.0,45.0,218.0,68.0
76,39,159.0,36.0,161.0,36.0,14.0,159.0
76,40,24.0,100.0,28.0,94.0,25.0,97.0
76,224,29.0,91.0,39.0,78.0,61.0,55.0
76,225,205.0,57.0,215.0,67.0,190.0,46.0
77,39,85.0,140.0,174.0,140.0,14.0,148.0
77,225,57.0,60.0,66.0,52.0,218.0,68.0
78,38,190.0,46.0,203.0,57.0,14.0,159.0
78,39,211.0,62.0,225.0,76.0,25.0,97.0
78,225,202.0,55.0,207.0,60.0,61.0,55.0
78,226,17.0,124.0,17.0,122.0,190.0,46.0
79,37,36.0,80.0,57.0,59.0,14.0,148.0
79,38,98.0,38.0,104.0,36.0,218.0,68.0
79,226,20.0,113.0,23.0,102.0,14.0,159.0
79,227,225.0,78.0,230.0,83.0,25.0,97.0
80,36,67.0,52.0,69.0,51.0,61.0,55.0
80,37,15.0,163.0,15.0,131.0,190.0,46.0
80,227,126.0,33.0,144.0,33.0,14.0,148.0
80,228,83.0,169.0,83.0,150.0,218.0,68.0
81,36,177.0,142.0,177.0,161.0,14.0,159.0
81,228,70.0,50.0,84.0,43.0,25.0,97.0
82,35,176.0,41.0,186.0,45.0,61.0,55.0
82,36,159.0,36.0,161.0,36.0,190.0,46.0
82,228,24.0,100.0,28.0,94.0,14.0,148.0
82,229,29.0,91.0,39.0,78.0,218.0,68.0
83,34,205.0,57.0,215.0,67.0,14.0,159.0
83,35,85.0,140.0,174.0,140.0,25.0,97.0
83,229,57.0,60.0,66.0,52.0,61.0,55.0
83,230,190.0,46.0,203.0,57.0,190.0,46.0
84,33,211.0,62.0,225.0,76.0,14.0,148.0
84,34,202.0,55.0,207.0,60.0,218.0,68.0
84,230,17.0,124.0,17.0,122.0,14.0,159.0
85,33,36.0,80.0,57.0,59.0,25.0,97.0
85,230,98.0,38.0,104.0,36.0,61.0,55.0
85,231,20.0,113.0,23.0,102.0,190.0,46.0
86,32,225.0,78.0,230.0,83.0,14.0,148.0
86,33,67.0,52.0,69.0,51.0,218.0,68.0
86,231,15.0,163.0,15.0,131.0,14.0,159.0
86,232,126.0,33.0,144.0,33.0,25.0,97.0
87,32,83.0,169.0,83.0,150.0,61.0,55.0
87,232,177.0,142.0,177.0,161.0,190.0,46.0
88,31,70.0,50.0,84.0,43.0,14.0,148.0
88,32,176.0,41.0,186.0,45.0,218.0,68.0
88,232,159.0,36.0,161.0,36.0,14.0,159.0
89,30,24.0,100.0,28.0,94.0,25.0,97.0
89,31,29.0,91.0,39.0,78.0,61.0,55.0
89,232,205.0,57.0,215.0,67.0,190.0,46.0
89,233,85.0,140.0,174.0,140.0,14.0,148.0
90,29,57.0,60.0,66.0,52.0,218.0,68.0
90,30,190.0,46.0,203.0,57.0,14.0,159.0
90,233,211.0,62.0,225.0,76.0,25.0,97.0
91,29,202.0,55.0,207.0,60.0,61.0,55.0
91,232,17.0,124.0,17.0,122.0,190.0,46.0
91,233,36.0,80.0,57.0,59.0,14.0,148.0
92,29,98.0,38.0,104.0,36.0,218.0,68.0
92,233,20.0,113.0,23.0,102.0,14.0,159.0
93,28,225.0,78.0,230.0,83.0,25.0,97.0
93,29,67.0,52.0,69.0,51.0,61.0,55.0
94,27,15.0,163.0,15.0,131.0,190.0,46.0
94,28,126.0,33.0,144.0,33.0,14.0,148.0
95,27,83.0,169.0,83.0,150.0,218.0,68.0
96,26,177.0,142.0,177.0,161.0,14.0,159.0
97,26,70.0,50.0,84.0,43.0,25.0,97.0
98,25,176.0,41.0,186.0,45.0,61.0,55.0
98,26,159.0,36.0,161.0,36.0,190.0,46.0
99,25,24.0,100.0,28.0,94.0,14.0,148.0
100,24,29.0,91.0,39.0,78.0,218.0,68.0
100,25,205.0,57.0,215.0,67.0,14.0,159.0
101,24,85.0,140.0,174.0,140.0,25.0,97.0
102,23,57.0,60.0,66.0,52.0,61.0,55.0
102,24,190.0,46.0,203.0,57.0,190.0,46.0
103,23,211.0,62.0,225.0,76.0,14.0,148.0
104,23,202.0,55.0,207.0,60.0,218.0,68.0
105,22,17.0,124.0,17.0,122.0,14.0,159.0
106,22,36.0,80.0,57.0,59.0,25.0,97.0
107,21,98.0,38.0,104.0,36.0,61.0,55.0
107,22,20.0,113.0,23.0,102.0,190.0,46.0
108,21,225.0,78.0,230.0,83.0,14.0,148.0
109,21,67.0,52.0,69.0,51.0,218.0,68.0
110,21,15.0,163.0,15.0,131.0,14.0,159.0
111,20,126.0,33.0,144.0,33.0,25.0,97.0
112,20,83.0,169.0,83.0,150.0,61.0,55.0
113,20,177.0,142.0,177.0,161.0,190.0,46.0
114,20,70.0,50.0,84.0,43.0,14.0,148.0
115,19,176.0,41.0,186.0,45.0,218.0,68.0
116,19,159.0,36.0,161.0,36.0,14.0,159.0
117,19,24.0,100.0,28.0,94.0,25.0,97.0
118,18,29.0,91.0,39.0,78.0,61.0,55.0
119,18,205.0,57.0,215.0,67.0,190.0,46.0
120,18,85.0,140.0,174.0,140.0,14.0,148.0
121,17,57.0,60.0,66.0,52.0,218.0,68.0
122,17,190.0,46.0,203.0,57.0,14.0,159.0
123,17,211.0,62.0,225.0,76.0,25.0,97.0
124,17,202.0,55.0,207.0,60.0,61.0,55.0
125,17,17.0,124.0,17.0,122.0,190.0,46.0
126,17,36.0,80.0,57.0,59.0,14.0,148.0
127,17,98.0,38.0,104.0,36.0,218.0,68.0
128,16,20.0,113.0,23.0,102.0,14.0,159.0
129,16,225.0,78.0,230.0,83.0,25.0,97.0
130,16,67.0,52.0,69.0,51.0,61.0,55.0
131,15,15.0,163.0,15.0,131.0,190.0,46.0
132,15,126.0,33.0,144.0,33.0,14.0,148.0
133,15,83.0,169.0,83.0,150.0,218.0,68.0
